name,city,country
VRN,Bensheim,DE
VRN,Bürstadt,DE
VRN,Eppelheim,DE
VRN,Heidelberg,DE
VRN,Heppenheim,DE
VRN,Hockenheim,DE
VRN,Kaiserslautern,DE
VRN,Landau in der Pfalz,DE
VRN,Ludwigshafen,DE
VRN,Mannheim,DE
VRN,Schwetzingen,DE
VRN,Speyer,DE
VRN,Weinheim,DE
VRN,Worms,DE
VVT REGIORAD Tirol,Ellmau,AT
VVT REGIORAD Tirol,Kufstein,AT
TFI Bikes,Waterford,IE
WE-cycle,"Aspen, CO",US
We Love bike,Lodi,IT
westBike,Erkelenz,DE
westBike,Geilenkirchen,DE
westBike,Heinsberg,DE
westBike,Hückelhoven,DE
westBike,Wegberg,DE
WESTcargo Bath,Bath,GB
WESTcargo Bristol,Bristol,GB
WhiteBikes,Bratislava,SK
WienMobil Rad,Wien,AT
WinsenRad,Winsen (Luhe),DE
WK-Bike,Bremen,DE
Wolf Ride Bike Share (Stony Brook University),Stony Brook,US
WRM,Wrocław,PL
wupsiRad Leverkusen,Leverkusen,DE
Xi'an Public Bicycle,西安 (Xi'an),CN
Yélo Vélo,La Rochelle,FR
YouBike,台灣 Chiayi City,TW
YouBike,新竹市 Hsinchu City,TW
YouBike,新竹縣 Hsinchu County,TW
YouBike,新竹科學工業園區 Hsinchu Science Park,TW
YouBike,高雄市 Kaohsiung City,TW
YouBike,台灣 Miaoli County,TW
YouBike,新北市 New Taipei,TW
YouBike,屏東縣 Pingtung County,TW
YouBike,莆田市 (Putian City),CN
YouBike,臺中市 Taichung City,TW
YouBike,臺南市 Tainan City,TW
YouBike,台北市 Taipei City,TW
YouBike,桃園市 Taoyuan City,TW
YOY - San Luis Potosi,San Luis Potosi,MX
YOY - San Luis Potosi,Cancún,MX
Donkey Republic Yverdon-les-Bains,Yverdon-les-Bains,CH
ZébullO,Reims,FR
Zena By Bike,Genova,IT
Zoov,Paris Sud,FR
